inst#,actual,predicted,error
1,?,0.089,?
1,?,0.067,?
1,?,0.069,?
1,?,0.082,?
1,?,0.008,?
1,?,0.028,?
1,?,0.102,?
1,?,0.008,?
1,?,0.054,?
1,?,0.355,?
1,?,0.02,?
1,?,0.04,?
1,?,0.18,?
1,?,0.073,?
1,?,0.042,?
1,?,0.067,?
1,?,0.116,?
1,?,0.005,?
1,?,0.028,?
1,?,0.323,?
1,?,0.203,?
1,?,0.013,?
1,?,0.05,?
1,?,0.002,?
1,?,0,?
1,?,0.09,?
1,?,0.006,?
1,?,0.039,?
1,?,0.012,?
1,?,0.006,?
1,?,0.108,?
1,?,0.098,?
1,?,0.069,?
1,?,0.103,?
1,?,0.028,?
1,?,0.033,?
1,?,0.03,?
1,?,0.015,?
1,?,0.059,?
1,?,0.014,?
1,?,0.008,?
1,?,0,?
1,?,0.01,?
1,?,0.043,?
1,?,0.069,?
1,?,0.056,?
1,?,0.285,?
1,?,0.003,?
1,?,0.03,?
1,?,0.144,?
1,?,0.182,?
1,?,0.014,?
1,?,0.035,?
1,?,0.069,?
1,?,0.066,?
1,?,0,?
1,?,0.003,?
1,?,0.023,?
1,?,0.059,?
1,?,0.167,?
1,?,0.083,?
1,?,0,?
1,?,0.061,?
1,?,0.155,?
1,?,0.044,?
1,?,0.039,?
1,?,0.002,?
1,?,0.075,?
1,?,0,?
1,?,0.151,?
1,?,0.015,?
1,?,0,?
1,?,0,?
1,?,0,?
1,?,0.108,?
1,?,0.084,?
1,?,0.069,?
1,?,0,?
1,?,?,?
1,?,0.034,?
1,?,0.006,?
1,?,0.005,?
1,?,0.012,?
1,?,0.094,?
1,?,0.002,?
1,?,0.006,?
1,?,0.056,?
1,?,0.032,?
1,?,0,?
1,?,0.034,?
1,?,0.063,?
1,?,0.002,?
1,?,0.008,?
1,?,0.051,?
1,?,0.008,?
1,?,0.018,?
1,?,0.022,?
1,?,0.006,?
1,?,0.08,?
1,?,0.005,?
1,?,0.038,?
1,?,0.011,?
1,?,0.323,?
1,?,0.044,?
1,?,0.038,?
1,?,0.065,?
1,?,0.066,?
1,?,0.123,?
1,?,0.063,?
1,?,0,?
1,?,0.025,?
1,?,0.038,?
1,?,0.07,?
1,?,0.041,?
1,?,0,?
1,?,0.012,?
1,?,0.069,?
1,?,0.022,?
1,?,0.002,?
1,?,0,?
1,?,0.138,?
1,?,0,?
1,?,0,?
1,?,0.027,?
1,?,0.069,?
1,?,0.025,?
1,?,0.04,?
1,?,0.01,?
1,?,0.008,?
1,?,0.01,?
1,?,0.054,?
1,?,0.069,?
1,?,0.051,?
1,?,0.04,?
1,?,0.064,?
1,?,0.021,?
1,?,0.056,?
1,?,0.012,?
1,?,0.022,?
1,?,0,?
1,?,0.098,?
1,?,0.049,?
1,?,0.064,?
1,?,0.062,?
1,?,0.003,?
1,?,0.036,?
1,?,0.109,?
1,?,0.048,?
1,?,0.059,?
1,?,0.06,?
1,?,0.008,?
1,?,0,?
1,?,0.024,?
1,?,0.028,?
1,?,0.179,?
1,?,0,?
1,?,0.019,?
1,?,0.014,?
1,?,0.116,?
1,?,0.216,?
1,?,0.068,?
1,?,0.163,?
1,?,0.004,?
1,?,0.029,?
1,?,0.085,?
1,?,0.084,?
1,?,0.052,?
1,?,0,?
1,?,0.01,?
1,?,0.004,?
1,?,0.036,?
1,?,0.069,?
1,?,0,?
1,?,0.039,?
1,?,0,?
1,?,0.058,?
1,?,0.129,?
1,?,0.027,?
1,?,0.054,?
1,?,0.013,?
1,?,0,?
1,?,0.043,?
1,?,0.066,?
1,?,0.012,?
1,?,0.16,?
1,?,0.059,?
1,?,0.069,?
1,?,0.012,?
1,?,0.021,?
1,?,0.004,?
1,?,0.13,?
1,?,0.074,?
1,?,0.186,?
1,?,0.06,?
1,?,?,?
1,?,0.049,?
1,?,0.073,?
1,?,0.012,?
1,?,0.025,?
1,?,0.121,?
1,?,0.022,?
1,?,0.069,?
1,?,0.048,?
1,?,0.004,?
1,?,0.019,?
1,?,0.024,?
1,?,?,?
1,?,0.108,?
1,?,0.01,?
1,?,0.018,?
1,?,0.002,?
1,?,0.045,?
1,?,0.002,?
1,?,0.101,?
1,?,0.022,?
1,?,0.051,?
1,?,0.047,?
1,?,0.04,?
1,?,0.021,?
1,?,0.061,?
1,?,0.091,?
1,?,0.038,?
1,?,0.002,?
1,?,0.281,?
1,?,0.108,?
1,?,0.012,?
1,?,0.385,?
1,?,0.042,?
1,?,0.013,?
1,?,0.002,?
1,?,0.014,?
1,?,0.026,?
1,?,0.002,?
1,?,0.018,?
1,?,0.009,?
1,?,0,?
1,?,0.008,?
1,?,0.04,?
1,?,0.015,?
1,?,0.199,?
1,?,0.049,?
1,?,0.01,?
1,?,0.03,?
1,?,0.029,?
1,?,0.106,?
1,?,0.026,?
1,?,0,?
1,?,0,?
1,?,0.012,?
1,?,0,?
1,?,0.004,?
1,?,0.02,?
1,?,0,?
1,?,0.016,?
1,?,0.076,?
1,?,0.01,?
1,?,0,?
1,?,0,?
1,?,0.062,?
1,?,0.083,?
1,?,0.051,?
1,?,0.069,?
1,?,0.07,?
1,?,0.068,?
1,?,0.031,?
1,?,0.023,?
1,?,0.369,?
1,?,0.132,?
1,?,0.016,?
1,?,0.065,?
1,?,0.391,?
1,?,0.016,?
1,?,0.082,?
1,?,0.091,?
1,?,0.02,?
1,?,0,?
1,?,0.046,?
1,?,0.04,?
1,?,0.023,?
1,?,0.002,?
1,?,0.04,?
1,?,0.02,?
1,?,0.107,?
1,?,0.062,?
1,?,0.04,?
1,?,0,?
1,?,0.097,?
1,?,0.02,?
1,?,0.237,?
1,?,0.078,?
1,?,0.012,?
1,?,0.004,?
1,?,0.083,?
1,?,0.056,?
1,?,0.069,?
1,?,0.016,?
1,?,0.013,?
1,?,0.038,?
1,?,0.06,?
1,?,0.019,?
1,?,0.005,?
1,?,0.04,?
1,?,0.01,?
1,?,0.007,?
1,?,0.01,?
1,?,0.008,?
1,?,0.002,?
1,?,0.012,?
1,?,0.038,?
1,?,0,?
1,?,0.016,?
1,?,0.067,?
1,?,0.019,?
1,?,0.026,?
1,?,0,?
1,?,0.032,?
1,?,0.044,?
1,?,0.123,?
1,?,0.088,?
1,?,0.026,?
1,?,0.097,?
1,?,0.004,?
1,?,0,?
1,?,0.012,?
1,?,0.085,?
1,?,0.022,?
1,?,0.071,?
1,?,0.013,?
1,?,0.001,?
1,?,0.074,?
1,?,0.2,?
1,?,0.004,?
1,?,0.344,?
1,?,0.032,?
1,?,0.041,?
1,?,0.153,?
1,?,0.052,?
1,?,0.001,?
1,?,0.012,?
1,?,0.099,?
1,?,0.003,?
1,?,0.113,?
1,?,0.004,?
1,?,0.015,?
1,?,0,?
1,?,0.019,?
1,?,0.008,?
1,?,0.04,?
1,?,0.045,?
1,?,0.037,?
1,?,0.07,?
1,?,0.104,?
1,?,0.094,?
1,?,0.074,?
1,?,0.03,?
1,?,0.059,?
1,?,0.001,?
1,?,0.002,?
1,?,0.008,?
1,?,0.005,?
1,?,0.015,?
1,?,0.065,?
1,?,0,?
1,?,0.025,?
1,?,0.041,?
1,?,0.018,?
1,?,0.016,?
1,?,0.076,?
1,?,0,?
1,?,0.02,?
1,?,0.062,?
1,?,0.065,?
1,?,0.205,?
1,?,0.008,?
1,?,0.004,?
1,?,0.02,?
1,?,0.099,?
1,?,0.391,?
1,?,0.006,?
1,?,0.003,?
1,?,0.229,?
1,?,0.008,?
1,?,0.075,?
1,?,0.036,?
1,?,0.04,?
1,?,0.174,?
1,?,0.179,?
1,?,0.032,?
1,?,0.069,?
1,?,0.012,?
1,?,0.081,?
1,?,0.068,?
1,?,0.06,?
1,?,0.069,?
1,?,0.056,?
1,?,0.049,?
1,?,0.052,?
1,?,0.027,?
1,?,0,?
1,?,?,?
1,?,0.022,?
1,?,0.03,?
1,?,0.093,?
1,?,0.008,?
1,?,0.033,?
1,?,?,?
1,?,0.122,?
1,?,0.283,?
1,?,0.006,?
1,?,0.045,?
1,?,0.01,?
1,?,0.006,?
1,?,0.04,?
1,?,0.052,?
1,?,0.07,?
1,?,0.02,?
1,?,0.009,?
1,?,0.047,?
1,?,0.03,?
1,?,0.164,?
1,?,0.067,?
1,?,0.028,?
1,?,0.012,?
1,?,0.017,?
1,?,0.073,?
1,?,0.02,?
1,?,0.069,?
1,?,0.046,?
1,?,0.014,?
1,?,0.016,?
1,?,0.137,?
1,?,0.017,?
1,?,0,?
1,?,0.032,?
1,?,0.018,?
1,?,0,?
1,?,0.023,?
1,?,0.079,?
1,?,0.002,?
1,?,0,?
1,?,0.01,?
1,?,0.074,?
1,?,0.068,?
1,?,0.07,?
1,?,0.014,?
1,?,0.084,?
1,?,0.391,?
1,?,0.038,?
1,?,0.004,?
1,?,0.112,?
1,?,0.004,?
1,?,0.097,?
1,?,0.006,?
1,?,0.202,?
1,?,0,?
1,?,0.063,?
1,?,0.213,?
1,?,0.057,?
1,?,0.031,?
1,?,0.062,?
1,?,0.075,?
1,?,0.056,?
1,?,0.07,?
1,?,0,?
1,?,0.02,?
1,?,0.022,?
1,?,?,?
1,?,0.02,?
1,?,0.053,?
1,?,0,?
1,?,0.008,?
1,?,0,?
1,?,0.031,?
1,?,0.021,?
1,?,0.069,?
1,?,0,?
1,?,0.04,?
1,?,0,?
1,?,0.196,?
1,?,0.04,?
1,?,0.02,?
1,?,0.01,?
1,?,0.081,?
1,?,0.024,?
1,?,0.069,?
1,?,0.198,?
1,?,0.049,?
1,?,0.004,?
1,?,0.067,?
1,?,0.062,?
1,?,0.018,?
1,?,0.093,?
1,?,0.006,?
1,?,0.069,?
1,?,0.004,?
1,?,?,?
1,?,0.071,?
1,?,0.025,?
1,?,0.233,?
1,?,0.02,?
1,?,0.016,?
1,?,0.014,?
1,?,0.059,?
1,?,0,?
1,?,?,?
1,?,0.088,?
1,?,0.07,?
1,?,0.003,?
1,?,0.068,?
1,?,0.168,?
1,?,0,?
1,?,0.093,?
1,?,0,?
1,?,0,?
1,?,0.028,?
1,?,0,?
1,?,0.007,?
1,?,0.117,?
1,?,0.017,?
1,?,0.014,?
1,?,0.066,?
1,?,0.014,?
1,?,?,?
1,?,0.066,?
1,?,0.013,?
1,?,0.034,?
1,?,0.035,?
1,?,0.051,?
1,?,0.012,?
1,?,0.069,?
1,?,0.16,?
1,?,0.011,?
1,?,0.12,?
1,?,0.04,?
1,?,0.046,?
1,?,0.058,?
1,?,0.053,?
1,?,0.029,?
1,?,0.003,?
1,?,0.014,?
1,?,0.038,?
1,?,0.068,?
1,?,0,?
1,?,0.074,?
1,?,0.068,?
1,?,0.005,?
1,?,0,?
1,?,0.072,?
1,?,0.069,?
1,?,0.06,?
1,?,0.006,?
1,?,0.068,?
1,?,?,?
1,?,0.099,?
1,?,0.16,?
1,?,0.008,?
1,?,0.255,?
1,?,0.05,?
1,?,0.046,?
1,?,0.008,?
1,?,0.229,?
1,?,0.025,?
1,?,0.02,?
1,?,0.079,?
1,?,0.067,?
1,?,0.038,?
1,?,0.002,?
1,?,0.045,?
1,?,0.069,?
1,?,0.006,?
1,?,0.002,?
1,?,0.008,?
1,?,0.069,?
1,?,0.081,?
1,?,0.066,?
1,?,0.051,?
1,?,0.051,?
1,?,0.095,?
1,?,0.002,?
1,?,0.021,?
1,?,0.066,?
1,?,0.018,?
1,?,0.086,?
1,?,0.052,?
1,?,0.013,?
1,?,0.022,?
1,?,0.193,?
1,?,0.1,?
1,?,0.085,?
1,?,0.113,?
1,?,0.037,?
1,?,0.071,?
1,?,0.049,?
1,?,0.012,?
1,?,0.018,?
1,?,0.025,?
1,?,0.013,?
1,?,0.069,?
1,?,0.006,?
1,?,0.391,?
1,?,0.028,?
1,?,0.021,?
1,?,0.014,?
1,?,0.023,?
1,?,0.063,?
1,?,0.09,?
1,?,0.047,?
1,?,0.034,?
1,?,0.059,?
1,?,0.179,?
1,?,0.005,?
1,?,0.031,?
1,?,0.029,?
1,?,0.059,?
1,?,0.023,?
1,?,0,?
1,?,0.126,?
1,?,0.068,?
1,?,0.002,?
1,?,0.016,?
1,?,0.04,?
1,?,?,?
1,?,0.008,?
1,?,0.042,?
1,?,0.1,?
1,?,0.077,?
1,?,0.066,?
1,?,0.08,?
1,?,0.054,?
1,?,0.014,?
1,?,0.016,?
1,?,0.028,?
1,?,0.059,?
1,?,0.091,?
1,?,0.012,?
1,?,0.069,?
1,?,0.018,?
1,?,0.06,?
1,?,0.068,?
1,?,0.06,?
1,?,0.012,?
1,?,0.007,?
1,?,0.043,?
1,?,0.046,?
1,?,0.098,?
1,?,0.069,?
1,?,0.039,?
1,?,0,?
1,?,0.142,?
1,?,0.012,?
1,?,0.391,?
1,?,0.038,?
1,?,0.012,?
1,?,0.028,?
1,?,0.04,?
1,?,0.022,?
1,?,0.028,?
1,?,0.016,?
1,?,0,?
1,?,0.074,?
1,?,0.012,?
1,?,0.149,?
1,?,0,?
1,?,0.083,?
1,?,0.01,?
1,?,0.081,?
1,?,0.05,?
1,?,0.068,?
1,?,0.133,?
1,?,0.067,?
1,?,0.008,?
1,?,0.008,?
1,?,0.053,?
1,?,0.027,?
1,?,0.121,?
1,?,0.006,?
1,?,0.028,?
1,?,0.178,?
1,?,0.037,?
1,?,0.004,?
1,?,0.031,?
1,?,0.008,?
1,?,0.066,?
1,?,0.065,?
1,?,0.008,?
1,?,0.012,?
1,?,0.04,?
1,?,0.007,?
1,?,0.058,?
1,?,0.069,?
1,?,0.017,?
1,?,0.002,?
1,?,0.069,?
1,?,0.066,?
1,?,0.069,?
1,?,0.015,?
1,?,0,?
1,?,0.007,?
1,?,0.069,?
1,?,0.049,?
1,?,0.077,?
1,?,0.068,?
1,?,0.006,?
1,?,0,?
1,?,0.052,?
1,?,0.002,?
1,?,0.128,?
1,?,0,?
1,?,0.08,?
1,?,0.122,?
1,?,0.004,?
1,?,0.028,?
1,?,0.014,?
1,?,0.014,?
1,?,0.049,?
1,?,0.089,?
1,?,0.041,?
1,?,0.008,?
1,?,0.08,?
1,?,0.051,?
1,?,?,?
1,?,0.016,?
1,?,0.101,?
1,?,0.067,?
1,?,0.069,?
1,?,0.012,?
1,?,0.064,?
1,?,0.027,?
1,?,0,?
1,?,0.116,?
1,?,0,?
1,?,0.01,?
1,?,0.099,?
1,?,0,?
1,?,0.047,?
1,?,0.069,?
1,?,0.194,?
1,?,0.119,?
1,?,0.097,?
1,?,0.003,?
1,?,0.019,?
1,?,0.049,?
1,?,0.007,?
1,?,0.039,?
1,?,0.01,?
1,?,0,?
1,?,0.011,?
1,?,0.144,?
1,?,0.012,?
1,?,0.032,?
1,?,0.082,?
1,?,0.01,?
1,?,0.01,?
1,?,0.105,?
1,?,0.012,?
1,?,0.077,?
1,?,0.006,?
1,?,0.008,?
1,?,0.014,?
1,?,0.083,?
1,?,0.047,?
1,?,0.051,?
1,?,0.002,?
1,?,0.006,?
1,?,0.047,?
1,?,0.039,?
1,?,0.162,?
1,?,0.064,?
1,?,0.033,?
1,?,0.056,?
1,?,0.079,?
1,?,0.089,?
1,?,0.073,?
1,?,0.074,?
1,?,0.027,?
1,?,0.102,?
1,?,0.015,?
1,?,0.02,?
1,?,0.009,?
1,?,0.002,?
1,?,0.304,?
1,?,0.041,?
1,?,0,?
1,?,0.069,?
1,?,0.022,?
1,?,0.139,?
1,?,0.033,?
1,?,0.01,?
1,?,0.043,?
1,?,0.013,?
1,?,0.028,?
1,?,0.039,?
1,?,0.261,?
1,?,0.05,?
1,?,0.04,?
1,?,?,?
1,?,0.04,?
1,?,0.017,?
1,?,0.091,?
1,?,0.27,?
1,?,0.136,?
1,?,0.084,?
1,?,0.009,?
1,?,0.01,?
1,?,0.006,?
1,?,0,?
1,?,0.012,?
1,?,0.066,?
1,?,0,?
1,?,0.003,?
1,?,0.006,?
1,?,0,?
1,?,0.064,?
1,?,0.069,?
1,?,0.083,?
1,?,0.027,?
1,?,0.022,?
1,?,0.004,?
1,?,0.016,?
1,?,0.002,?
1,?,0.056,?
1,?,0.057,?
1,?,0.03,?
1,?,0.036,?
1,?,0.058,?
1,?,0.043,?
1,?,0.121,?
1,?,?,?
1,?,0.004,?
1,?,0.034,?
1,?,0.216,?
1,?,0.223,?
1,?,0.225,?
1,?,0.02,?
1,?,0.255,?
1,?,0.05,?
1,?,0.022,?
1,?,0.054,?
1,?,0.072,?
1,?,0.046,?
1,?,0.045,?
1,?,?,?
1,?,0.026,?
1,?,0.076,?
1,?,0.035,?
1,?,0.008,?
1,?,0.004,?
1,?,0.033,?
1,?,0.303,?
1,?,0,?
1,?,0.083,?
1,?,0.123,?
1,?,0.069,?
1,?,0.006,?
1,?,0.021,?
1,?,0.142,?
1,?,0.069,?
1,?,0,?
1,?,0.012,?
1,?,0.008,?
1,?,0.015,?
1,?,0.066,?
1,?,0.062,?
1,?,0.028,?
1,?,0.046,?
1,?,0.016,?
1,?,0.069,?
1,?,0.013,?
1,?,0,?
1,?,0,?
1,?,0.021,?
1,?,0.019,?
1,?,0.08,?
1,?,0,?
1,?,0.066,?
1,?,0.002,?
1,?,0.014,?
1,?,0.114,?
1,?,0.008,?
1,?,0.016,?
1,?,0.023,?
1,?,0.064,?
1,?,0.088,?
1,?,0.085,?
1,?,0.018,?
1,?,0,?
1,?,0.059,?
1,?,0.111,?
1,?,0.002,?
1,?,0.088,?
1,?,0.01,?
1,?,0.096,?
1,?,0.016,?
1,?,0.076,?
1,?,0.091,?
1,?,0,?
1,?,0.018,?
1,?,0.014,?
1,?,0.293,?
1,?,0.007,?
1,?,0.012,?
1,?,0.11,?
1,?,0.01,?
1,?,0.08,?
1,?,0.046,?
1,?,0.1,?
1,?,0.021,?
1,?,0.027,?
1,?,0.068,?
1,?,0.005,?
1,?,0.03,?
1,?,0.102,?
1,?,0.078,?
1,?,0.012,?
1,?,0.008,?
1,?,0.042,?
1,?,0.034,?
1,?,0.024,?
1,?,0.048,?
1,?,0.163,?
1,?,0.051,?
1,?,0.008,?
1,?,0.103,?
1,?,0.004,?
1,?,0.042,?
1,?,0.032,?
1,?,0.004,?
1,?,0.028,?
1,?,0.1,?
1,?,0.073,?
1,?,0.102,?
1,?,0.066,?
1,?,0,?
1,?,0.103,?
1,?,0.018,?
1,?,0.026,?
1,?,0.071,?
1,?,0,?
1,?,0.005,?
1,?,0,?
1,?,0.078,?
1,?,0.005,?
1,?,0.067,?
1,?,0.022,?
1,?,0.069,?
1,?,0.176,?
1,?,0.037,?
1,?,0.013,?
1,?,0.105,?
1,?,0.069,?
1,?,0.003,?
1,?,0.07,?
1,?,0.069,?
1,?,0.038,?
1,?,0.023,?
1,?,0.034,?
1,?,0.042,?
1,?,0.047,?
1,?,0.052,?
1,?,0.008,?
1,?,0.039,?
1,?,0.069,?
1,?,0,?
1,?,0.012,?
1,?,0.034,?
1,?,0.051,?
1,?,0.098,?
1,?,0.012,?
1,?,0.008,?
1,?,0.054,?
1,?,0,?
1,?,0.023,?
1,?,0.019,?
1,?,0,?
1,?,0.091,?
1,?,0,?
1,?,0,?
1,?,0.082,?
1,?,0.016,?
1,?,0.279,?
1,?,0.02,?
1,?,0.07,?
1,?,0.089,?
1,?,0.028,?
1,?,0.008,?
1,?,0.039,?
1,?,0.002,?
1,?,0,?
1,?,0.051,?
1,?,0.035,?
1,?,0.003,?
1,?,0.333,?
1,?,0,?
1,?,0.044,?
1,?,0.046,?
1,?,0.065,?
1,?,0.028,?
1,?,0.065,?
1,?,0.014,?
1,?,0.082,?
1,?,0.039,?
1,?,0.01,?
1,?,0.053,?
1,?,0.043,?
1,?,0.038,?
1,?,0.391,?
1,?,0.036,?
1,?,0.015,?
1,?,0.239,?
1,?,0.009,?
1,?,0.01,?
1,?,0.056,?
1,?,0.027,?
1,?,0.01,?
1,?,0.062,?
1,?,0.053,?
1,?,0.07,?
1,?,0.045,?
1,?,0.053,?
1,?,0.03,?
1,?,0.081,?
1,?,0.026,?
1,?,0.069,?
1,?,0.002,?
1,?,0.012,?
1,?,0.005,?
1,?,0,?
1,?,0.048,?
1,?,0.048,?
1,?,0.115,?
1,?,0.002,?
1,?,0.051,?
1,?,0.01,?
1,?,0.046,?
1,?,0.005,?
1,?,0,?
1,?,0.014,?
1,?,0.026,?
1,?,0.027,?
1,?,0.006,?
1,?,0.04,?
1,?,0.014,?
1,?,0.006,?
1,?,0.055,?
1,?,0.095,?
1,?,0.014,?
1,?,0.064,?
1,?,0,?
1,?,0,?
1,?,0.067,?
1,?,0.021,?
1,?,0.028,?
1,?,0.008,?
1,?,0.007,?
1,?,0.314,?
1,?,0.069,?
1,?,0.08,?
1,?,0.258,?
1,?,0.04,?
1,?,0.053,?
1,?,0.01,?
1,?,0.069,?
1,?,0.003,?
1,?,0.018,?
1,?,0.002,?
1,?,0.081,?
1,?,0.05,?
1,?,0,?
1,?,0.008,?
1,?,0.01,?
1,?,0.029,?
1,?,0.127,?
1,?,0.04,?
1,?,0.023,?
1,?,0.01,?
1,?,0.008,?
1,?,0.041,?
1,?,0.002,?
1,?,0.018,?
1,?,0.041,?
1,?,0.038,?
1,?,0.008,?
1,?,0.069,?
1,?,0.012,?
1,?,0.012,?
1,?,0.019,?
1,?,0.062,?
1,?,0.024,?
1,?,0.016,?
1,?,0.108,?
1,?,0.056,?
1,?,0.082,?
1,?,0.023,?
1,?,0.022,?
1,?,0.042,?
1,?,0.027,?
1,?,0.002,?
1,?,0,?
1,?,0.045,?
1,?,0.122,?
1,?,0.04,?
1,?,0.012,?
1,?,0.265,?
1,?,0.023,?
1,?,0.003,?
1,?,0.197,?
1,?,0.045,?
1,?,0.114,?
1,?,0.063,?
1,?,0.069,?
1,?,0.002,?
1,?,0.039,?
1,?,0.018,?
1,?,0.16,?
1,?,0.01,?
1,?,0.031,?
1,?,0.007,?
1,?,0.027,?
1,?,0.07,?
1,?,0.004,?
1,?,0.062,?
1,?,0.03,?
1,?,0.071,?
1,?,0,?
1,?,0.216,?
1,?,0.391,?
1,?,0,?
1,?,0.013,?
1,?,0.069,?
1,?,0.027,?
1,?,0.061,?
1,?,0.043,?
1,?,0.071,?
1,?,0.019,?
1,?,0.028,?
1,?,0.024,?
1,?,0.003,?
1,?,0.006,?
1,?,0.012,?
1,?,0.008,?
1,?,0.002,?
1,?,0.008,?
1,?,0.069,?
1,?,0.072,?
1,?,0.002,?
1,?,0.066,?
1,?,0.228,?
1,?,0.066,?
1,?,0.074,?
1,?,0.043,?
1,?,0.008,?
1,?,0,?
1,?,0.059,?
1,?,0.048,?
1,?,0.062,?
1,?,0.068,?
1,?,0.044,?
1,?,0.123,?
1,?,0,?
1,?,0.026,?
1,?,0,?
1,?,0.038,?
1,?,0.01,?
1,?,0.08,?
1,?,0.062,?
1,?,0.133,?
1,?,0.058,?
1,?,0.004,?
1,?,0.012,?
1,?,0.069,?
1,?,0.012,?
1,?,0.042,?
